id,album_name,album_cover,public_day,artists_id
1,Positions (Deluxe),https://i.scdn.co/image/ab67616d00001e029508fb7ca2eedc0d98b9139f,Album • 2021,1
2,30,https://i.scdn.co/image/ab67616d00001e02c6b577e4c4a6d326354a89f7,Album • 2021,2
3,BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL,https://i.scdn.co/image/ab67616d00001e02baa2444671de8ec216082838,Album • 2018,3
4,BORN PINK,https://i.scdn.co/image/ab67616d00001e02580ac3ad7dfc81e509171120,Album • 2022,4
5,dongvui harmony,https://i.scdn.co/image/ab67616d00001e02178c0bcd6f92107315535908,Album • 2022,5
6,An Evening With Silk Sonic,https://i.scdn.co/image/ab67616d00001e02d0bbd3ea2ec554f17a6603cc,Album • 2021,6
7,Dear Evan Hansen (Original Motion Picture Soundtrack),https://i.scdn.co/image/ab67616d00001e02a7a9d81575b10a3bc8b69914,Album • 2021,7
8,Night Visions (Expanded Edition / Super Deluxe),https://i.scdn.co/image/ab67616d00001e0281eeace38068e9444cb28a3e,Album • 2022,8
9,Man of the Woods,https://i.scdn.co/image/ab67616d00001e024626ff0fee963da605f6aa06,Album • 2018,9
10,Justice (The Complete Edition),https://i.scdn.co/image/ab67616d00001e020cad1d28e91209690bdfb907,Album • 2021,10
11,Blue Banisters,https://i.scdn.co/image/ab67616d00001e026946deb6f548e464b385ee0e,Album • 2021,11
12,Midnights (3am Edition),https://i.scdn.co/image/ab67616d00001e02e0b60c608586d88252b8fbc0,Album • 2022,12
13,live from The Forum,https://i.scdn.co/image/ab67616d00001e02f32e6c2dd11152f54aee3a6d,Album • 2022,13
14,Qua Khung Cửa Sổ,https://i.scdn.co/image/ab67616d00001e024a5c0d176134cb5ab9db4924,Album • 2021,14
15,Gieo,https://i.scdn.co/image/ab67616d00001e020771b564830e3dedb2d31358,Album • 2022,15
16,Future Nostalgia (The Moonlight Edition),https://i.scdn.co/image/ab67616d00001e02ef12a4e8cdb297684e197cc4,Album • 2021,16
17,最偉大的作品,https://i.scdn.co/image/ab67616d00001e0220eb9661dbcd873731280b48,Album • 2022,17
18,"LET’S JUST SAY THE WORLD ENDED A WEEK FROM NOW, WHAT WOULD YOU DO? (DELUXE)",https://i.scdn.co/image/ab67616d00001e02be6e63e5eb30bf5116ae3667,Album • 2022,18
19,"Wasteland, Baby!",https://i.scdn.co/image/ab67616d00001e02299e8e9983e2b0455e5e8505,Album • 2019,19
20,Twelve Carat Toothache (Deluxe),https://i.scdn.co/image/ab67616d00001e0249081408213aac8b6e75e016,Album • 2022,20
21,Luv(sic) Hexalogy,https://i.scdn.co/image/ab67616d00001e021a1ba7785a4b91c8aee7a79c,Album • 2015,21
22,Sky Tour (Original Motion Picture Soundtrack),https://i.scdn.co/image/ab67616d00001e027663e8afc902209090664782,Album • 2020,22
23,12,https://i.scdn.co/image/ab67616d00001e026752c6f800152f09680da0eb,Album • 2020,23
24,Scenic Drive (The Tape),https://i.scdn.co/image/ab67616d00001e02b6866de8f1c7a1a1559ef5a8,Album • 2021,24
25,Epik High Is Here 下 (Part 2),https://i.scdn.co/image/ab67616d00001e029d75b5f5afe9269a0302b8b4,Album • 2022,25
26,Give Or Take,https://i.scdn.co/image/ab67616d00001e022739e569d6b6d0e0abc8cd9b,Album • 2022,26
27,Top Gun: Maverick (Music From The Motion Picture),https://i.scdn.co/image/ab67616d00001e0202701cfe03aca6827b5c5449,Album • 2022,27
28,Thiên Thần Sa Ngã,https://i.scdn.co/image/ab67616d00001e02230c2c547b2f068310c1af6f,Album • 2018,28
29,Wild Dreams (Deluxe Edition),https://i.scdn.co/image/ab67616d00001e0224c2869c4acb9bf63aab2f5c,Album • 2021,29
30,Những Bài Hát Dành Tặng,https://i.scdn.co/image/ab67616d00001e02d900800772ccb51095e86564,Album • 2021,30
31,Cry,https://i.scdn.co/image/ab67616d00001e02b0d93d82c831a2655e32762e,Album • 2019,31
32,rapunzel,https://i.scdn.co/image/ab67616d00001e026f04e53cb5309f8e88286842,Album • 2022,32
