id,artist_name,avartar
1,Ariana Grande,player/image/Ariana Grande.png
2,Adele,player/image/Adele.png
3,BIGBANG,player/image/BIGBANG.png
4,BLACKPINK,player/image/BLACKPINK.png
5,Đen,player/image/Đen.png
6,Bruno Mars,player/image/Bruno Mars.png
7,Sam Smith,player/image/Sam Smith.png
8,Imagine Dragons,player/image/Imagine Dragons.png
9,Justin Timberlake,player/image/Justin Timberlake.png
10,Justin Bieber,player/image/Justin Bieber.png
11,Lana Del Rey,player/image/Lana Del Rey.png
12,Taylor Swift,player/image/Taylor Swift.png
13,LANY,player/image/LANY.png
14,Chillies,player/image/Chillies.png
15,Ngọt,player/image/Ngọt.png
16,Dua Lipa,player/image/Dua Lipa.png
17,Jay Chou,player/image/Jay Chou.png
18,HONNE,player/image/HONNE.png
19,Hozier,player/image/Hozier.png
20,Post Malone,player/image/Post Malone.png
21,Nujabes,player/image/Nujabes.png
22,Sơn Tùng M-TP,player/image/Son Tùng M-TP.png
23,AnnenMayKantereit,player/image/AnnenMayKantereit.png
24,Khalid,player/image/Khalid.png
25,Epik High,player/image/Epik High.png
26,Giveon,player/image/Giveon.png
27,Lady Gaga,player/image/Lady Gaga.png
28,Bùi Lan Huong,player/image/Bùi Lan Huong.png
29,Westlife,player/image/Westlife.png
30,Nguyen Ha,player/image/Nguyen Ha.png
31,Cigarettes After Sex,player/image/Cigarettes After Sex.png
32,dhruv,player/image/dhruv.png
33,5 Seconds of Summer,player/image/5sos.jpg
34,Arctic Monkeys,player/image/Arctic_Monkeys.png
