id,song_name,audio,album_id,artists_id
1,Adele - All Night Parking (with Erroll Garner) Interlude,player/audio/Adele - All Night Parking (with Erroll Garner) Interlude.mp3,2,2
2,Adele - Can I Get It,player/audio/Adele - Can I Get It.mp3,2,2
3,Adele - Cry Your Heart Out,player/audio/Adele - Cry Your Heart Out.mp3,2,2
4,Adele - Easy On Me,player/audio/Adele - Easy On Me.mp3,2,2
5,Adele - Hold On,player/audio/Adele - Hold On.mp3,2,2
6,Adele - I Drink Wine,player/audio/Adele - I Drink Wine.mp3,2,2
7,Adele - Love Is A Game,player/audio/Adele - Love Is A Game.mp3,2,2
8,Adele - My Little Love,player/audio/Adele - My Little Love.mp3,2,2
9,Adele - Oh My God,player/audio/Adele - Oh My God.mp3,2,2
10,Adele - Strangers By Nature,player/audio/Adele - Strangers By Nature.mp3,2,2
11,Adele - To Be Loved,player/audio/Adele - To Be Loved.mp3,2,2
12,Adele - Woman Like Me,player/audio/Adele - Woman Like Me.mp3,2,2
13,Amandla Stenberg - The Anonymous Ones - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,player/audio/Amandla Stenberg - The Anonymous Ones - From The “Dear Evan Hansen” Original Motion Picture Soundtrack.mp3,13,13
14,AnnenMayKantereit - Aufgeregt,player/audio/AnnenMayKantereit - Aufgeregt.mp3,23,23
15,AnnenMayKantereit - Das Gefühl,player/audio/AnnenMayKantereit - Das Gefühl.mp3,23,23
16,AnnenMayKantereit - Die letzte Ballade,player/audio/AnnenMayKantereit - Die letzte Ballade.mp3,23,23
17,AnnenMayKantereit - Ganz egal,player/audio/AnnenMayKantereit - Ganz egal.mp3,23,23
18,AnnenMayKantereit - Gegenwart,player/audio/AnnenMayKantereit - Gegenwart.mp3,23,23
19,AnnenMayKantereit - Gegenwartsbewältigung,player/audio/AnnenMayKantereit - Gegenwartsbewältigung.mp3,23,23
20,AnnenMayKantereit - Interlude,player/audio/AnnenMayKantereit - Interlude.mp3,23,23
21,AnnenMayKantereit - Intro,player/audio/AnnenMayKantereit - Intro.mp3,23,23
22,AnnenMayKantereit - Outro,player/audio/AnnenMayKantereit - Outro.mp3,23,23
23,AnnenMayKantereit - Paloma,player/audio/AnnenMayKantereit - Paloma.mp3,23,23
24,AnnenMayKantereit - So laut so leer,player/audio/AnnenMayKantereit - So laut so leer.mp3,23,23
25,AnnenMayKantereit - So wies war,player/audio/AnnenMayKantereit - So wies war.mp3,23,23
26,AnnenMayKantereit - Spätsommerregen,player/audio/AnnenMayKantereit - Spätsommerregen.mp3,23,23
27,AnnenMayKantereit - Vergangenheit,player/audio/AnnenMayKantereit - Vergangenheit.mp3,23,23
28,AnnenMayKantereit - Warte auf mich [Padaschdi],player/audio/AnnenMayKantereit - Warte auf mich [Padaschdi].mp3,23,23
29,AnnenMayKantereit - Zukunft,player/audio/AnnenMayKantereit - Zukunft.mp3,23,23
30,"Ariana Grande - 34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix","player/audio/Ariana Grande - 34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix.mp3",1,1
31,Ariana Grande - 34+35,player/audio/Ariana Grande - 34+35.mp3,1,1
32,Ariana Grande - just like magic,player/audio/Ariana Grande - just like magic.mp3,1,1
33,Ariana Grande - love language,player/audio/Ariana Grande - love language.mp3,1,1
34,Ariana Grande - main thing,player/audio/Ariana Grande - main thing.mp3,1,1
